sample	dataset	forward_read	reverse_read
NTM00640	MGX_DATA	data/NTM00640_S56_R1_001.fastq.gz	data/NTM00640_S56_R2_001.fastq.gz
NTM00175	MGX_DATA	data/NTM00175_S83_R1_001.fastq.gz	data/NTM00175_S83_R2_001.fastq.gz
NTM00194	MGX_DATA	data/NTM00194_S70_R1_001.fastq.gz	data/NTM00194_S70_R2_001.fastq.gz
NTM00025	MGX_DATA	data/NTM00025_S81_R1_001.fastq.gz	data/NTM00025_S81_R2_001.fastq.gz
NTM01032	MGX_DATA	data/NTM01032_S102_R1_001.fastq.gz	data/NTM01032_S102_R2_001.fastq.gz
NTM01145	MGX_DATA	data/NTM01145_S46_R1_001.fastq.gz	data/NTM01145_S46_R2_001.fastq.gz
NTM00373	MGX_DATA	data/NTM00373_S85_R1_001.fastq.gz	data/NTM00373_S85_R2_001.fastq.gz
NTM01288	MGX_DATA	data/NTM01288_S89_R1_001.fastq.gz	data/NTM01288_S89_R2_001.fastq.gz
NTM00388	MGX_DATA	data/NTM00388_S37_R1_001.fastq.gz	data/NTM00388_S37_R2_001.fastq.gz
NTM00340	MGX_DATA	data/NTM00340_S31_R1_001.fastq.gz	data/NTM00340_S31_R2_001.fastq.gz
NTM00100	MGX_DATA	data/NTM00100_S63_R1_001.fastq.gz	data/NTM00100_S63_R2_001.fastq.gz
NTM00165	MGX_DATA	data/NTM00165_S22_R1_001.fastq.gz	data/NTM00165_S22_R2_001.fastq.gz
NTM00060	MGX_DATA	data/NTM00060_S84_R1_001.fastq.gz	data/NTM00060_S84_R2_001.fastq.gz
NTM00208	MGX_DATA	data/NTM00208_S44_R1_001.fastq.gz	data/NTM00208_S44_R2_001.fastq.gz
NTM01067	MGX_DATA	data/NTM01067_S99_R1_001.fastq.gz	data/NTM01067_S99_R2_001.fastq.gz
NTM00116	MGX_DATA	data/NTM00116_S74_R1_001.fastq.gz	data/NTM00116_S74_R2_001.fastq.gz
NTM00609	MGX_DATA	data/NTM00609_S67_R1_001.fastq.gz	data/NTM00609_S67_R2_001.fastq.gz
NTM00262	MGX_DATA	data/NTM00262_S51_R1_001.fastq.gz	data/NTM00262_S51_R2_001.fastq.gz
NTM00383	MGX_DATA	data/NTM00383_S76_R1_001.fastq.gz	data/NTM00383_S76_R2_001.fastq.gz
NTM00321	MGX_DATA	data/NTM00321_S87_R1_001.fastq.gz	data/NTM00321_S87_R2_001.fastq.gz
NTM00117	MGX_DATA	data/NTM00117_S112_R1_001.fastq.gz	data/NTM00117_S112_R2_001.fastq.gz
NTM01422	MGX_DATA	data/NTM01422_S62_R1_001.fastq.gz	data/NTM01422_S62_R2_001.fastq.gz
NTM00200	MGX_DATA	data/NTM00200_S54_R1_001.fastq.gz	data/NTM00200_S54_R2_001.fastq.gz
NTM00153	MGX_DATA	data/NTM00153_S64_R1_001.fastq.gz	data/NTM00153_S64_R2_001.fastq.gz
NTM00573	MGX_DATA	data/NTM00573_S95_R1_001.fastq.gz	data/NTM00573_S95_R2_001.fastq.gz
NTM01125	MGX_DATA	data/NTM01125_S61_R1_001.fastq.gz	data/NTM01125_S61_R2_001.fastq.gz
NTM00470	MGX_DATA	data/NTM00470_S39_R1_001.fastq.gz	data/NTM00470_S39_R2_001.fastq.gz
NTM00433	MGX_DATA	data/NTM00433_S71_R1_001.fastq.gz	data/NTM00433_S71_R2_001.fastq.gz
NTM01460	MGX_DATA	data/NTM01460_S45_R1_001.fastq.gz	data/NTM01460_S45_R2_001.fastq.gz
NTM00344	MGX_DATA	data/NTM00344_S48_R1_001.fastq.gz	data/NTM00344_S48_R2_001.fastq.gz
NTM01323	MGX_DATA	data/NTM01323_S113_R1_001.fastq.gz	data/NTM01323_S113_R2_001.fastq.gz
