sample	dataset
DNA_B04_21	Batch_04
DNA_B04_22	Batch_04
DNA_B04_23	Batch_04
DNA_B04_24	Batch_04
DNA_B04_25	Batch_04
DNA_B04_26	Batch_04
DNA_B04_27	Batch_04
DNA_B04_28	Batch_04
DNA_B04_29	Batch_04
DNA_B04_30	Batch_04
DNA_B04_31	Batch_04
DNA_B04_32	Batch_04
DNA_B04_34	Batch_04
DNA_B04_35	Batch_04
DNA_B04_36	Batch_04
DNA_B04_37	Batch_04
DNA_B04_39	Batch_04
DNA_B04_40	Batch_04
DNA_B04_41	Batch_04
DNA_B04_42	Batch_04
DNA_B04_43	Batch_04
DNA_B04_44	Batch_04
DNA_B04_45	Batch_04
DNA_B04_46	Batch_04
DNA_B04_47	Batch_04
DNA_B04_48	Batch_04
DNA_B04_49	Batch_04
DNA_B04_50	Batch_04
DNA_B04_51	Batch_04
DNA_B04_52	Batch_04
DNA_B04_53	Batch_04
DNA_B04_55	Batch_04
DNA_B04_56	Batch_04
DNA_B04_57	Batch_04
DNA_B04_58	Batch_04
DNA_B04_59	Batch_04
DNA_B04_60	Batch_04
DNA_B04_61	Batch_04
DNA_B04_62	Batch_04
DNA_B04_65	Batch_04
DNA_B04_66	Batch_04
DNA_B04_67	Batch_04
DNA_B04_68	Batch_04
DNA_B04_69	Batch_04
DNA_B04_70	Batch_04
DNA_B04_72	Batch_04
DNA_B04_73	Batch_04
DNA_B04_74	Batch_04
DNA_B04_75	Batch_04
DNA_B04_76	Batch_04
DNA_B04_77	Batch_04
DNA_B04_78	Batch_04
DNA_B04_79	Batch_04
DNA_B04_80	Batch_04
DNA_B04_81	Batch_04
DNA_B04_82	Batch_04
DNA_B04_83	Batch_04
DNA_B04_84	Batch_04
DNA_B04_85	Batch_04
DNA_B04_86	Batch_04
DNA_B04_87	Batch_04
DNA_B04_88	Batch_04
DNA_B04_89	Batch_04
DNA_B04_90	Batch_04
DNA_B04_91	Batch_04
DNA_B04_92	Batch_04
DNA_B04_93	Batch_04
DNA_B04_94	Batch_04
DNA_B04_95	Batch_04
DNA_B04_96	Batch_04
DNA_B04_97	Batch_04
DNA_B04_98	Batch_04
DNA_B04_99	Batch_04
