sample	dataset	forward_read	reverse_read
B16_RePMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.2487b0757d8a42d780fc05fc897fa7b7/B16_RePMA_S75_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.2487b0757d8a42d780fc05fc897fa7b7/B16_RePMA_S75_L001_R2_001.fastq.gz
B22_NaDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.a7bb74cfd7e7447d997fd127538ad376/B22_NaDNase_S14_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.a7bb74cfd7e7447d997fd127538ad376/B22_NaDNase_S14_L001_R2_001.fastq.gz
B16_LyPMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.26de31cab7fa4bed90e4ef42a5acc773/B16_LyPMA_S8_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.26de31cab7fa4bed90e4ef42a5acc773/B16_LyPMA_S8_L001_R2_001.fastq.gz
B21_RePMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.cec0101e60f94cba91acee09e533a51f/B21_RePMA_S39_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.cec0101e60f94cba91acee09e533a51f/B21_RePMA_S39_L001_R2_001.fastq.gz
B16_NaDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.bbb0b4511b444654ab3b9605ec2b1163/B16_NaDNase_S4_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.bbb0b4511b444654ab3b9605ec2b1163/B16_NaDNase_S4_L001_R2_001.fastq.gz
20221117_Zymo_10ng	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.fdfd243b09b143689e333b02d6a47c78/20221117_Zymo_10ng_S81_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.fdfd243b09b143689e333b02d6a47c78/20221117_Zymo_10ng_S81_L001_R2_001.fastq.gz
Water	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.da0cab86a66d4a5b92c6d5086c5352c6/Water_S80_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.da0cab86a66d4a5b92c6d5086c5352c6/Water_S80_L001_R2_001.fastq.gz
B17_NaNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.864f7eeff52346e2a1dc5932358f948d/B17_NaNa_S49_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.864f7eeff52346e2a1dc5932358f948d/B17_NaNa_S49_L001_R2_001.fastq.gz
B16_LyNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.4378e4e9dd9c45618709f15a45dd51bc/B16_LyNa_S48_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.4378e4e9dd9c45618709f15a45dd51bc/B16_LyNa_S48_L001_R2_001.fastq.gz
Blank1	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.ed0b3b275e684e45802e595f8eedd4f8/Blank1_S11_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.ed0b3b275e684e45802e595f8eedd4f8/Blank1_S11_L001_R2_001.fastq.gz
B19_ReDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.5cd0356d05144cd5b6f8c02d4b79465c/B19_ReDNase_S27_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.5cd0356d05144cd5b6f8c02d4b79465c/B19_ReDNase_S27_L001_R2_001.fastq.gz
B18_ReDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.72863d5a5cd248169c65f47fd9bb8c37/B18_ReDNase_S28_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.72863d5a5cd248169c65f47fd9bb8c37/B18_ReDNase_S28_L001_R2_001.fastq.gz
B23_ReDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.aa048aa3cefb4c66a1baa795304c1ead/B23_ReDNase_S30_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.aa048aa3cefb4c66a1baa795304c1ead/B23_ReDNase_S30_L001_R2_001.fastq.gz
B23_NaPMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.2ffdd0ef952d4c9198c7cbb39906b613/B23_NaPMA_S46_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.2ffdd0ef952d4c9198c7cbb39906b613/B23_NaPMA_S46_L001_R2_001.fastq.gz
B22_ReDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.4f04aaec70064158a5f9b89c6c174ca4/B22_ReDNase_S36_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.4f04aaec70064158a5f9b89c6c174ca4/B22_ReDNase_S36_L001_R2_001.fastq.gz
B20_LyNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.f5ab6a03f16346f9a9dd0fe63755acc7/B20_LyNa_S10_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.f5ab6a03f16346f9a9dd0fe63755acc7/B20_LyNa_S10_L001_R2_001.fastq.gz
B17_NaPMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.21b020631f13485db1b9b9a19b4452b8/B17_NaPMA_S41_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.21b020631f13485db1b9b9a19b4452b8/B17_NaPMA_S41_L001_R2_001.fastq.gz
B22_LyNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.126611c14e324cabafe0437a9da36231/B22_LyNa_S78_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.126611c14e324cabafe0437a9da36231/B22_LyNa_S78_L001_R2_001.fastq.gz
B21_NaPMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.9cf3dd698ae342a49a8ce711b8325fcb/B21_NaPMA_S31_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.9cf3dd698ae342a49a8ce711b8325fcb/B21_NaPMA_S31_L001_R2_001.fastq.gz
B16_NaPMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.cc89645d6bf4414a93153181674a3384/B16_NaPMA_S23_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.cc89645d6bf4414a93153181674a3384/B16_NaPMA_S23_L001_R2_001.fastq.gz
B22_ReNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.d5fe51c002ce4c5f8c4934c727b274f5/B22_ReNa_S70_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.d5fe51c002ce4c5f8c4934c727b274f5/B22_ReNa_S70_L001_R2_001.fastq.gz
